,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
83,57979,2901300100000,1.0,2022-07-18,1.0,0,30000,0,0,1.0,0,0,67,1,0,0.7
84,55615,2500001100000,1.0,2022-05-25,1.0,11,80000,0,0,1.0,1,1,76,2,0,0.3
85,55615,2500000100000,1.0,2022-08-24,0.8,0,60000,0,0,0.6,0,0,65,0,0,0.3
86,55615,2500000500000,0.6,2022-11-24,1.0,0,30000,0,0,1.0,0,0,63,0,0,0.3
87,55615,2500000100000,1.0,2022-04-01,1.0,4,250000,0,0,0.9,1,1,80,2,0,0.5
88,55270,7200000100000,1.0,2022-09-05,1.0,0,55000,0,0,1.0,0,1,76,0,0,0.9
89,55270,7200000100000,0.7,2022-06-22,1.0,1,80000,0,0,0.9,1,1,77,1,0,0.7
90,55270,7200100000400,0.6,2022-06-21,1.0,3,70000,0,0,0.9,0,1,67,1,0,0.0
91,55270,7200000100000,1.0,2021-12-15,1.0,0,50000,0,0,1.0,1,1,65,0,0,0.3
92,55270,7200000100000,0.6,2023-01-18,1.0,0,40000,0,0,1.0,1,1,82,0,1,0.3
93,55270,7200000100000,1.0,2022-09-15,0.8,15,75000,0,0,1.0,0,1,0,1,0,0.0
94,55270,7200000100000,0.6,2022-03-24,1.0,4,40000,0,0,1.0,1,1,66,1,0,0.0
95,55270,7200000100000,1.0,2023-01-09,1.0,0,35000,0,0,1.0,0,1,68,0,0,0.0
96,55209,3800001000000,0.6,2021-12-06,1.0,1,20000,0,0,1.0,0,0,74,1,0,0.0
97,55209,3800000300000,0.5,2022-10-26,0.8,0,20000,0,0,0.6,0,0,65,0,0,0.5
98,55209,3800000400000,1.0,2022-07-13,1.0,0,22000,0,0,1.0,0,0,55,0,0,0.0
99,55209,3800000300000,0.6,2022-05-30,1.0,0,26473,0,0,1.0,0,1,61,0,0,0.0
100,55209,3800000300000,1.0,2022-12-28,1.0,6,20000,0,0,1.0,0,1,68,2,1,0.0
101,55209,3800001400000,0.7,2023-01-12,1.0,0,1,0,0,0.5,1,1,67,0,0,0.5
102,55209,3800001500000,0.6,2022-07-20,1.0,0,60000,0,0,1.0,0,1,58,0,0,0.0
103,55209,3800000300000,0.7,2022-06-27,1.0,0,25000,0,0,1.0,0,1,74,0,0,0.7
104,55209,3800001300000,0.5,2022-10-17,1.0,0,30000,0,0,1.0,0,1,56,0,0,0.0
105,55209,3800000300000,1.0,2022-10-20,0.7,0,18000,0,0,0.6,0,0,62,0,0,0.5
